image,control1,control2,label1,label2,description1,description2,avg,label
image478.jpg,6.0,3.0,5.2,7.8,Bra's of joy,Covered in bras.,6.5,1
image336.jpg,3.0,2.0,1.3,6.4,Amazonians,Happy family time,3.85,0
image450.jpg,3.0,7.0,3.0,7.7,Must have been a relative,Oranges have funeral.,5.35,1
image1781.jpg,3.0,2.0,8.4,7.6,Train waiting too.,Train is waiting too.,8.0,1
image1795.jpg,6.0,2.0,1.0,7.8,I hate dogs.,Dogs hiding in blanket.,4.4,0
image444.jpg,1.0,1.0,4.2,7.8,Person with face,The chicken head,6.0,1
image322.jpg,3.0,4.0,3.6,1.0,Raining with coffee,Wet kitchen,2.3,0
image1018.jpg,9.0,1.0,6.1,1.7,I can read your mind,Head is creepy.,3.9,0
image1024.jpg,6.0,1.0,1.0,1.7,Light coming out of a box,Man letting in ideas.,1.35,0
image1742.jpg,6.0,2.0,8.2,5.9,"Teen wolf is here,funny",Dressed like werewolf.,7.05,1
image493.jpg,9.0,5.0,1.0,7.6,I hate dogs.,Puppy covered in paint.,4.3,0
image487.jpg,9.0,3.0,9.0,8.3,digital media vs books,Book shielding from tech.,8.65,1
image1756.jpg,10.0,3.0,3.2,8.1,He might be thirsty,Horse wagging its tongue.,5.65,1
image1030.jpg,10.0,8.0,9.7,7.8,Hose,Good or cheap wine?,8.75,1
image108.jpg,7.0,1.0,6.8,2.7,cute,Ducks are just cute.,4.75,0
image1583.jpg,10.0,7.0,7.3,7.2,Porcupine meeting cactus.,Porcupine in love.,7.25,1
image652.jpg,8.0,2.0,1.8,8.8,tail,You have his attention,5.300000000000001,1
image134.jpg,8.0,1.0,9.0,7.6,Serious about the game,Footballer is falling.,8.3,1
image120.jpg,6.0,2.0,7.8,1.0,Powerful nose,Don't like the legs,4.4,0
image646.jpg,10.0,4.0,2.8,8.9,Human with face,Woman with llamas face.,5.85,1
image1597.jpg,10.0,1.0,1.7,1.0,Woman focusing the camera,Taking pics not funny,1.35,0
image875.jpg,9.0,2.0,7.9,7.1,Flat out beat him,Runner is taunting.,7.5,1
image861.jpg,8.0,3.0,3.0,3.5,Cute and amusing.,Kitten is adorable.,3.25,0
image1568.jpg,3.0,2.0,5.2,8.7,messi,Characters under water,6.949999999999999,1
image691.jpg,9.0,10.0,10.0,1.0,sleeping,Poor guy is tired,5.5,1
image849.jpg,2.0,1.0,3.0,1.0,didn't make the team,A lonely little boy,2.0,0
image1540.jpg,5.0,3.0,8.8,7.8,last throw before removal,Statue basketball shot.,8.3,1
image1226.jpg,3.0,3.0,1.0,1.7,Crying cat is not funny,Cat's eyes are scary.,1.35,0
image1232.jpg,3.0,2.0,6.8,1.8,No one caring me.,Dog just relaxing.,4.3,0
image1554.jpg,4.0,5.0,2.1,3.7,Just normal game play,Football players,2.9000000000000004,0
image685.jpg,5.0,5.0,5.6,1.0,stockpiling toilet paper,I hate dogs.,3.3,0
image726.jpg,2.0,5.0,3.0,6.7,dangerous,Water tanks on bike.,4.85,0
image1391.jpg,5.0,2.0,1.5,5.7,Creative but not funny,Artistic banana set.,3.6,0
image1385.jpg,2.0,2.0,3.5,9.0,Stuff on kid,Kid is covered up.,6.25,1
image732.jpg,7.0,1.0,1.0,5.7,Just nasty,Man picking nose.,3.35,0
image1408.jpg,7.0,3.0,8.0,7.1,Got to be a costume,Bigfoot is driving a car.,7.55,1
image901.jpg,3.0,4.0,9.0,8.0,rest in peace!,Toast is burning.,8.5,1
image915.jpg,9.0,5.0,9.2,1.0,Funny legs for the stools,Nuns with funny legs.,5.1,1
image1434.jpg,7.0,5.0,8.9,7.0,The dogs took it too far.,Cow is leaping.,7.95,1
image1352.jpg,3.0,2.0,1.5,1.9,Animal looks scared.,Dog looks sad.,1.7,0
image1346.jpg,3.0,9.0,10.0,9.2,game,Tic-Tac-Toe,9.6,1
image1420.jpg,5.0,5.0,7.1,6.8,Family time.,Smoking a pipe,6.949999999999999,1
image929.jpg,5.0,4.0,1.7,8.1,She is kissing his money,Woman loves money.,4.8999999999999995,0
image63.jpg,3.0,6.0,8.7,6.5,Place to hang anything.,Holding a huge hammer.,7.6,1
image1811.jpg,6.0,3.0,4.7,7.4,The ha ha ha is funny,Man is laughing hard.,6.050000000000001,1
image518.jpg,5.0,4.0,7.4,8.8,Silly mask on dog,Dog is friend of Zoro,8.100000000000001,1
image1805.jpg,4.0,4.0,10.0,10.0,story,funny to the core,10.0,1
image77.jpg,8.0,6.0,8.2,7.4,Coffee looks worried,Coffee looks surprised.,7.8,1
image1193.jpg,4.0,4.0,4.3,8.7,face,He actually jumped,6.5,1
image242.jpg,8.0,4.0,5.5,2.9,More cute than funny,circle,4.2,0
image524.jpg,4.0,3.0,3.6,9.2,prefer Aran dog sweater,LOL funny puppy,6.3999999999999995,1
image1839.jpg,5.0,2.0,9.0,8.3,They need to feed him,cute,8.65,1
image530.jpg,4.0,2.0,1.6,8.3,taking a handful,Cat wants more food.,4.95,0
image256.jpg,9.0,5.0,10.0,7.6,Dog is proud of self,Dog ripping paperwork.,8.8,1
image1187.jpg,1.0,2.0,1.6,1.0,Sad starving child,Bad AI attempt,1.3,0
image1178.jpg,7.0,4.0,6.1,1.4,Ready to go outside,Dog looks mean.,3.75,0
image281.jpg,6.0,2.0,3.0,8.3,Cats are cute.,This cat is begging.,5.65,1
image1150.jpg,8.0,5.0,8.9,7.2,He is too far out,In desert ready for beach,8.05,1
image1636.jpg,7.0,7.0,1.0,7.3,Baby attached to a laptop,A laptop pacifier.,4.15,0
image1622.jpg,9.0,4.0,8.6,1.0,He knows what he's doing,I loathe dogs.,4.8,0
image1144.jpg,9.0,3.0,8.3,8.1,Man with bra's,Man covered in bras.,8.2,1
image88.jpg,2.0,1.0,1.0,1.0,serious photo,Lady is sad,1.0,0
image295.jpg,7.0,4.0,7.8,6.6,professional coffee cup,Coffee is intelligent.,7.199999999999999,1
image1623.jpg,9.0,4.0,6.4,1.7,head-turning syndrome,Woman is sad.,4.05,0
image294.jpg,8.0,4.0,1.0,7.4,Horror picture,Women are snakes.,4.2,0
image89.jpg,7.0,3.0,1.0,8.0,This is a horror photo,the real face revealed,4.5,0
image1145.jpg,2.0,2.0,1.0,8.3,A dangerous situation,No eyes on face,4.65,0
image1151.jpg,7.0,5.0,8.7,8.3,Marilyn Monroe recreation,Banana showing up skirt.,8.5,1
image280.jpg,5.0,2.0,1.7,6.5,Husky eating watermelon,Dog eating watermelon.,4.1,0
image1637.jpg,9.0,6.0,3.3,7.0,image was not funny,Dog ripped up door.,5.15,1
image1179.jpg,2.0,6.0,6.8,1.0,the blurry kids,She need a break,3.9,0
image531.jpg,5.0,2.0,6.4,9.1,first face poster is nice,They are twins,7.75,1
image1838.jpg,2.0,1.0,1.0,1.0,not funny at all,Eyes facemask,1.0,0
image1186.jpg,9.0,2.0,8.3,5.3,Working together,smartness,6.800000000000001,1
image257.jpg,6.0,5.0,9.4,1.0,Pinocchio pole vault,not at all funny,5.2,1
image243.jpg,8.0,4.0,8.5,7.4,Traffic cone man,Whacky road sign.,7.95,1
image1192.jpg,5.0,3.0,3.0,7.2,Spongbob sad,Lazy cartoon character.,5.1,1
image525.jpg,2.0,2.0,8.1,8.0,Looks like person dog,2 best friends become 1,8.05,1
image1804.jpg,9.0,4.0,7.7,8.3,Green boots on pig,Pig wearing boots,8.0,1
image76.jpg,8.0,3.0,9.0,1.7,Don't wear sandals on ice,Man walking on water.,5.35,1
image62.jpg,8.0,3.0,10.0,7.5,eight,He want what he want,8.75,1
image519.jpg,7.0,3.0,5.6,8.0,Just wow,only death angel smiles,6.8,1
image1810.jpg,6.0,3.0,5.0,9.7,Cats are funny.,He is curious,7.35,1
image1347.jpg,3.0,2.0,9.1,8.4,Donald West,Kanye with Trumps hair.,8.75,1
image928.jpg,8.0,2.0,5.9,6.3,Enough meat for days.,Big man is cooking.,6.1,1
image1421.jpg,8.0,7.0,8.6,8.5,All he can do is try,fitness dream,8.55,1
image1435.jpg,5.0,4.0,6.4,7.8,Snakes show personality,They look like snakes,7.1,1
image1353.jpg,5.0,3.0,6.1,6.5,cute closeup shot,Lamb is always cute,6.3,1
image914.jpg,9.0,3.0,9.6,4.7,Time to play ball.,Puppy is cute.,7.15,1
image900.jpg,3.0,2.0,3.8,2.8,Color of image,Lion cubs are adorable.,3.3,0
image1409.jpg,8.0,2.0,1.0,3.9,I hate dogs.,it looks like a sad mood,2.45,0
image1384.jpg,6.0,3.0,7.0,4.3,Prime gone too far,Child playing,5.65,1
image733.jpg,5.0,8.0,7.3,1.0,Cleaning up mess,sad,4.15,0
image727.jpg,3.0,1.0,1.0,1.4,Young couple in a car,Couple in a car.,1.2,0
image1390.jpg,7.0,7.0,8.8,8.8,Good photo shop,funny editing,8.8,1
image1233.jpg,8.0,2.0,7.9,5.7,Daddy daughter time,Man wearing a tiara.,6.800000000000001,1
image684.jpg,9.0,1.0,1.0,2.0,Fighting lions,Lions are fighting.,1.5,0
image1555.jpg,7.0,2.0,9.7,6.6,Are they hiding?,Dogs are hiding.,8.149999999999999,1
image1541.jpg,7.0,3.0,1.0,1.8,Danger or a killing,Men getting hurt.,1.4,0
image848.jpg,8.0,2.0,8.0,7.4,Her style of dressing,Person in weird costume.,7.7,1
image690.jpg,1.0,1.0,2.7,4.5,weird what bcomes a thing,image canot not funny,3.6,0
image1227.jpg,3.0,4.0,6.5,3.3,loves hibachi restaurants,All of that for a treat?,4.9,0
image1569.jpg,3.0,4.0,1.8,8.3,Lady is working too hard,Superman,5.050000000000001,1
